fullName,politicalGroup,id,nationalPoliticalGroup,photo,nameAudio,gender_Wiki,gender_2017,gender,dateOfBirth_Wiki,dateOfBirth_Home,dateOfBirth,placeOfBirth,country,homePage
Clare DALY,The Left group in the European Parliament - GUE/NGL,197731,Independents for change,https://www.europarl.europa.eu/mepphoto/197731.jpg,https://www.europarl.europa.eu/mepaudio/197731.mp3,FEMALE,,FEMALE,"April 16, 1968",11-04-1968,04-11-1968,Dublin,France,https://www.europarl.europa.eu/meps/en/197731/CLARE_DALY/home
Rosa D'AMATO,Group of the Greens/European Free Alliance,124835,Independent,https://www.europarl.europa.eu/mepphoto/124835.jpg,https://www.europarl.europa.eu/mepaudio/124835.mp3,FEMALE,FEMALE,FEMALE,"March 30, 1969",30-03-1969,30-03-1969,Taranto,Czechia,https://www.europarl.europa.eu/meps/en/124835/ROSA_D'AMATO/home
Arnaud DANJEAN,Group of the European People's Party (Christian Democrats),96747,Les Républicains,https://www.europarl.europa.eu/mepphoto/96747.jpg,https://www.europarl.europa.eu/mepaudio/96747.mp3,MALE,MALE,MALE,"February 11, 1971",11-02-1971,02-11-1971,Louhans,Sweden,https://www.europarl.europa.eu/meps/en/96747/ARNAUD_DANJEAN/home
Nicola DANTI,Renew Europe Group,124821,Italia Viva,https://www.europarl.europa.eu/mepphoto/124821.jpg,https://www.europarl.europa.eu/mepaudio/124821.mp3,MALE,MALE,MALE,"September 6, 1966",06-09-1966,09-06-1966,Pelago (FI),Italy,https://www.europarl.europa.eu/meps/en/124821/NICOLA_DANTI/home
Gianantonio DA RE,Identity and Democracy Group,197608,Lega,https://www.europarl.europa.eu/mepphoto/197608.jpg,https://www.europarl.europa.eu/mepaudio/197608.mp3,MALE,,MALE,"September 6, 1953",06-09-1953,09-06-1953,Cappella Maggiore,France,https://www.europarl.europa.eu/meps/en/197608/GIANANTONIO_DA_RE/home
Marie DAUCHY,Identity and Democracy Group,236050,Rassemblement national,https://www.europarl.europa.eu/mepphoto/236050.jpg,https://www.europarl.europa.eu/mepaudio/236050.mp3,,,FEMALE,"February 5, 1987",05-02-1987,02-05-1987,Calais,France,https://www.europarl.europa.eu/meps/en/236050/MARIE_DAUCHY/home
Ivan DAVID,Identity and Democracy Group,197556,Svoboda a přímá demokracie,https://www.europarl.europa.eu/mepphoto/197556.jpg,https://www.europarl.europa.eu/mepaudio/197556.mp3,MALE,,MALE,"September 24, 1952",24-09-1952,24-09-1952,,Hungary,https://www.europarl.europa.eu/meps/en/197556/IVAN_DAVID/home
Ilan DE BASSO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228604,Arbetarepartiet- Socialdemokraterna,https://www.europarl.europa.eu/mepphoto/228604.jpg,https://www.europarl.europa.eu/mepaudio/228604.mp3,MALE,,MALE,"October 1, 1969",,01-10-1969,,France,https://www.europarl.europa.eu/meps/en/228604/ILAN_DE_BASSO/home
Paolo DE CASTRO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico,https://www.europarl.europa.eu/mepphoto/96891.jpg,https://www.europarl.europa.eu/mepaudio/96891.mp3,MALE,MALE,MALE,"February 2, 1958",02-02-1958,02-02-1958,S. Pietro Vernotico,Belgium,https://www.europarl.europa.eu/meps/en/96891/PAOLO_DE_CASTRO/home
Jérémy DECERLE,Renew Europe Group,197504,Liste L'Europe Ensemble,https://www.europarl.europa.eu/mepphoto/197504.jpg,https://www.europarl.europa.eu/mepaudio/197504.mp3,MALE,,MALE,"July 1, 1984",01-07-1984,07-01-1984,Saint-Remy,Italy,https://www.europarl.europa.eu/meps/en/197504/JÉRÉMY_DECERLE/home
Gwendoline DELBOS-CORFIELD,Group of the Greens/European Free Alliance,197531,Europe Écologie,https://www.europarl.europa.eu/mepphoto/197531.jpg,https://www.europarl.europa.eu/mepaudio/197531.mp3,FEMALE,,FEMALE,"March 8, 1977",08-03-1977,03-08-1977,,Germany,https://www.europarl.europa.eu/meps/en/197531/GWENDOLINE_DELBOS-CORFIELD/home
Andor DELI,Non-attached Members,124714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,https://www.europarl.europa.eu/mepphoto/124714.jpg,https://www.europarl.europa.eu/mepaudio/124714.mp3,MALE,MALE,MALE,"May 2, 1977",02-05-1977,05-02-1977,Óbecse (Szerbia),Germany,https://www.europarl.europa.eu/meps/en/124714/ANDOR_DELI/home
Karima DELLI,Group of the Greens/European Free Alliance,96868,Europe Écologie,https://www.europarl.europa.eu/mepphoto/96868.jpg,https://www.europarl.europa.eu/mepaudio/96868.mp3,FEMALE,FEMALE,FEMALE,"March 4, 1979",04-03-1979,03-04-1979,Roubaix,Hungary,https://www.europarl.europa.eu/meps/en/96868/KARIMA_DELLI/home
Filip DE MAN,Identity and Democracy Group,197472,Vlaams Belang,https://www.europarl.europa.eu/mepphoto/197472.jpg,https://www.europarl.europa.eu/mepaudio/197472.mp3,MALE,,MALE,"November 11, 1955",,11-11-1955,,France,https://www.europarl.europa.eu/meps/en/197472/FILIP_DE_MAN/home
Salvatore DE MEO,Group of the European People's Party (Christian Democrats),204333,Forza Italia,https://www.europarl.europa.eu/mepphoto/204333.jpg,https://www.europarl.europa.eu/mepaudio/204333.mp3,MALE,,MALE,"October 27, 1971",27-10-1971,27-10-1971,,Czechia,https://www.europarl.europa.eu/meps/en/204333/SALVATORE_DE_MEO/home
Özlem DEMIREL,The Left group in the European Parliament - GUE/NGL,197468,DIE LINKE.,https://www.europarl.europa.eu/mepphoto/197468.jpg,https://www.europarl.europa.eu/mepaudio/197468.mp3,FEMALE,,FEMALE,"March 10, 1984",10-03-1984,03-10-1984,Malatya,Hungary,https://www.europarl.europa.eu/meps/en/197468/ÖZLEM_DEMIREL/home
Anna DEPARNAY-GRUNENBERG,Group of the Greens/European Free Alliance,197453,Bündnis 90/Die Grünen,https://www.europarl.europa.eu/mepphoto/197453.jpg,https://www.europarl.europa.eu/mepaudio/197453.mp3,FEMALE,,FEMALE,"June 5, 1976",05-06-1976,06-05-1976,Berlin,Germany,https://www.europarl.europa.eu/meps/en/197453/ANNA_DEPARNAY-GRUNENBERG/home
Tamás DEUTSCH,Non-attached Members,96826,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,https://www.europarl.europa.eu/mepphoto/96826.jpg,https://www.europarl.europa.eu/mepaudio/96826.mp3,MALE,MALE,MALE,"December 4, 1969",27-07-1966,27-07-1966,Budapest,Hungary,https://www.europarl.europa.eu/meps/en/96826/TAMÁS_DEUTSCH/home
Geoffroy DIDIER,Group of the European People's Party (Christian Democrats),190774,Les Républicains,https://www.europarl.europa.eu/mepphoto/190774.jpg,https://www.europarl.europa.eu/mepaudio/190774.mp3,MALE,,MALE,"April 12, 1976",12-04-1976,04-12-1976,Boulogne-Billancourt,Italy,https://www.europarl.europa.eu/meps/en/190774/GEOFFROY_DIDIER/home
Martina DLABAJOVÁ,Renew Europe Group,124709,ANO 2011,https://www.europarl.europa.eu/mepphoto/124709.jpg,https://www.europarl.europa.eu/mepaudio/124709.mp3,FEMALE,FEMALE,FEMALE,"July 26, 1976",26-07-1976,26-07-1976,Zlín,Italy,https://www.europarl.europa.eu/meps/en/124709/MARTINA_DLABAJOVÁ/home
Klára DOBREV,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197579,Demokratikus Koalíció,https://www.europarl.europa.eu/mepphoto/197579.jpg,https://www.europarl.europa.eu/mepaudio/197579.mp3,FEMALE,,FEMALE,"February 2, 1972",02-02-1972,02-02-1972,Sofia,Poland,https://www.europarl.europa.eu/meps/en/197579/KLÁRA_DOBREV/home
Christian DOLESCHAL,Group of the European People's Party (Christian Democrats),197473,Christlich-Soziale Union in Bayern e.V.,https://www.europarl.europa.eu/mepphoto/197473.jpg,https://www.europarl.europa.eu/mepaudio/197473.mp3,MALE,,MALE,"April 27, 1988",27-04-1988,27-04-1988,Kemnath,Germany,https://www.europarl.europa.eu/meps/en/197473/CHRISTIAN_DOLESCHAL/home
Anna Júlia DONÁTH,Renew Europe Group,197595,Momentum,https://www.europarl.europa.eu/mepphoto/197595.jpg,https://www.europarl.europa.eu/mepaudio/197595.mp3,FEMALE,,FEMALE,,06-04-1987,04-06-1987,Magyarország,Spain,https://www.europarl.europa.eu/meps/en/197595/ANNA_JÚLIA_DONÁTH/home
Francesca DONATO,Non-attached Members,197822,Independent,https://www.europarl.europa.eu/mepphoto/197822.jpg,https://www.europarl.europa.eu/mepaudio/197822.mp3,FEMALE,,FEMALE,"August 25, 1969",25-08-1969,25-08-1969,Ancona,France,https://www.europarl.europa.eu/meps/en/197822/FRANCESCA_DONATO/home
Herbert DORFMANN,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei,https://www.europarl.europa.eu/mepphoto/96787.jpg,https://www.europarl.europa.eu/mepaudio/96787.mp3,MALE,MALE,MALE,"March 4, 1969",04-03-1969,03-04-1969,Brixen,Slovakia,https://www.europarl.europa.eu/meps/en/96787/HERBERT_DORFMANN/home
Marco DREOSTO,Identity and Democracy Group,197614,Lega,https://www.europarl.europa.eu/mepphoto/197614.jpg,https://www.europarl.europa.eu/mepaudio/197614.mp3,MALE,,MALE,"March 18, 1969",18-03-1969,18-03-1969,SPILIMBERGO,Bulgaria,https://www.europarl.europa.eu/meps/en/197614/MARCO_DREOSTO/home
Jarosław DUDA,Group of the European People's Party (Christian Democrats),197510,Platforma Obywatelska,https://www.europarl.europa.eu/mepphoto/197510.jpg,https://www.europarl.europa.eu/mepaudio/197510.mp3,MALE,,MALE,"April 29, 1964",29-04-1964,29-04-1964,Wroclaw,Germany,https://www.europarl.europa.eu/meps/en/197510/JAROSŁAW_DUDA/home
Lena DÜPONT,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands,https://www.europarl.europa.eu/mepphoto/99945.jpg,https://www.europarl.europa.eu/mepaudio/99945.mp3,FEMALE,,FEMALE,"April 30, 1986",30-04-1986,30-04-1986,Dortmund,Germany,https://www.europarl.europa.eu/meps/en/99945/LENA_DÜPONT/home
Estrella DURÁ FERRANDIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198329,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/198329.jpg,https://www.europarl.europa.eu/mepaudio/198329.mp3,FEMALE,,FEMALE,,22-09-1963,22-09-1963,Puçol,Netherlands,https://www.europarl.europa.eu/meps/en/198329/ESTRELLA_DURÁ_FERRANDIS/home
Pascal DURAND,Renew Europe Group,124693,Liste Renaissance,https://www.europarl.europa.eu/mepphoto/124693.jpg,https://www.europarl.europa.eu/mepaudio/124693.mp3,MALE,MALE,MALE,"October 3, 1960",03-10-1960,10-03-1960,Montreuil-Sous-Bois,Malta,https://www.europarl.europa.eu/meps/en/124693/PASCAL_DURAND/home
Lucia ĎURIŠ NICHOLSONOVÁ,Renew Europe Group,197766,Independent,https://www.europarl.europa.eu/mepphoto/197766.jpg,https://www.europarl.europa.eu/mepaudio/197766.mp3,FEMALE,,FEMALE,"November 28, 1976",28-11-1976,28-11-1976,Bratislava,Germany,https://www.europarl.europa.eu/meps/en/197766/LUCIA_ĎURIŠ_NICHOLSONOVÁ/home
Angel DZHAMBAZKI,European Conservatives and Reformists Group,124873,VMRO,https://www.europarl.europa.eu/mepphoto/124873.jpg,https://www.europarl.europa.eu/mepaudio/124873.mp3,MALE,MALE,MALE,"March 21, 1979",21-03-1979,21-03-1979,,Germany,https://www.europarl.europa.eu/meps/en/124873/ANGEL_DZHAMBAZKI/home
Matthias ECKE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237465,Sozialdemokratische Partei Deutschlands,https://www.europarl.europa.eu/mepphoto/237465.jpg,https://www.europarl.europa.eu/mepaudio/237465.mp3,MALE,,MALE,,12-04-1983,04-12-1983,Meerane,Germany,https://www.europarl.europa.eu/meps/en/237465/MATTHIAS_ECKE/home
Christian EHLER,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands,https://www.europarl.europa.eu/mepphoto/28226.jpg,https://www.europarl.europa.eu/mepaudio/28226.mp3,MALE,MALE,MALE,"August 17, 1963",17-08-1963,17-08-1963,München,Spain,https://www.europarl.europa.eu/meps/en/28226/CHRISTIAN_EHLER/home
Bas EICKHOUT,Group of the Greens/European Free Alliance,96725,GroenLinks,https://www.europarl.europa.eu/mepphoto/96725.jpg,https://www.europarl.europa.eu/mepaudio/96725.mp3,MALE,MALE,MALE,"October 8, 1976",08-10-1976,10-08-1976,,France,https://www.europarl.europa.eu/meps/en/96725/BAS_EICKHOUT/home
Cyrus ENGERER,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,209091,Partit Laburista,https://www.europarl.europa.eu/mepphoto/209091.jpg,https://www.europarl.europa.eu/mepaudio/209091.mp3,MALE,,MALE,"September 28, 1981",28-09-1981,28-09-1981,Pietà,Romania,https://www.europarl.europa.eu/meps/en/209091/CYRUS_ENGERER/home
Cornelia ERNST,The Left group in the European Parliament - GUE/NGL,96852,DIE LINKE.,https://www.europarl.europa.eu/mepphoto/96852.jpg,https://www.europarl.europa.eu/mepaudio/96852.mp3,FEMALE,FEMALE,FEMALE,"November 30, 1956",,30-11-1956,,France,https://www.europarl.europa.eu/meps/en/96852/CORNELIA_ERNST/home
Engin EROGLU,Renew Europe Group,197430,Freie Wähler,https://www.europarl.europa.eu/mepphoto/197430.jpg,https://www.europarl.europa.eu/mepaudio/197430.mp3,MALE,,MALE,"February 12, 1982",,12-02-1982,,Germany,https://www.europarl.europa.eu/meps/en/197430/ENGIN_EROGLU/home
Ismail ERTUG,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96842,Sozialdemokratische Partei Deutschlands,https://www.europarl.europa.eu/mepphoto/96842.jpg,https://www.europarl.europa.eu/mepaudio/96842.mp3,MALE,MALE,MALE,"December 5, 1975",05-12-1975,12-05-1975,Amberg,Portugal,https://www.europarl.europa.eu/meps/en/96842/ISMAIL_ERTUG/home
Rosa ESTARÀS FERRAGUT,Group of the European People's Party (Christian Democrats),96811,Partido Popular,https://www.europarl.europa.eu/mepphoto/96811.jpg,https://www.europarl.europa.eu/mepaudio/96811.mp3,FEMALE,FEMALE,FEMALE,"October 21, 1965",21-10-1965,21-10-1965,,Spain,https://www.europarl.europa.eu/meps/en/96811/ROSA_ESTARÀS_FERRAGUT/home
Eleonora EVI,Group of the Greens/European Free Alliance,124779,Europa Verde,https://www.europarl.europa.eu/mepphoto/124779.jpg,https://www.europarl.europa.eu/mepaudio/124779.mp3,FEMALE,FEMALE,FEMALE,"November 20, 1983",20-11-1983,20-11-1983,Milano,Italy,https://www.europarl.europa.eu/meps/en/124779/ELEONORA_EVI/home
Agnès EVREN,Group of the European People's Party (Christian Democrats),197535,Les Républicains,https://www.europarl.europa.eu/mepphoto/197535.jpg,https://www.europarl.europa.eu/mepaudio/197535.mp3,FEMALE,,FEMALE,"December 27, 1970",27-12-1970,27-12-1970,Paris,Italy,https://www.europarl.europa.eu/meps/en/197535/AGNÈS_EVREN/home
Gheorghe FALCĂ,Group of the European People's Party (Christian Democrats),197649,Partidul Naţional Liberal,https://www.europarl.europa.eu/mepphoto/197649.jpg,https://www.europarl.europa.eu/mepaudio/197649.mp3,MALE,,MALE,"January 22, 1967",22-01-1967,22-01-1967,Brad,Germany,https://www.europarl.europa.eu/meps/en/197649/GHEORGHE_FALCĂ/home
Laurence FARRENG,Renew Europe Group,197589,Mouvement Démocrate,https://www.europarl.europa.eu/mepphoto/197589.jpg,https://www.europarl.europa.eu/mepaudio/197589.mp3,FEMALE,,FEMALE,"September 6, 1966",06-09-1966,09-06-1966,Nimes,Italy,https://www.europarl.europa.eu/meps/en/197589/LAURENCE_FARRENG/home
Markus FERBER,Group of the European People's Party (Christian Democrats),1917,Christlich-Soziale Union in Bayern e.V.,https://www.europarl.europa.eu/mepphoto/1917.jpg,https://www.europarl.europa.eu/mepaudio/1917.mp3,MALE,MALE,MALE,"January 15, 1965",15-01-1965,15-01-1965,Augsburg,Italy,https://www.europarl.europa.eu/meps/en/1917/MARKUS_FERBER/home
José Manuel FERNANDES,Group of the European People's Party (Christian Democrats),96899,Partido Social Democrata,https://www.europarl.europa.eu/mepphoto/96899.jpg,https://www.europarl.europa.eu/mepaudio/96899.mp3,MALE,MALE,MALE,"July 26, 1967",26-07-1967,26-07-1967,Vila Verde,Ireland,https://www.europarl.europa.eu/meps/en/96899/JOSÉ_MANUEL_FERNANDES/home
Jonás FERNÁNDEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/125046.jpg,https://www.europarl.europa.eu/mepaudio/125046.mp3,MALE,MALE,MALE,"January 8, 1979",08-01-1979,01-08-1979,Oviedo,Ireland,https://www.europarl.europa.eu/meps/en/125046/JONÁS_FERNÁNDEZ/home
Giuseppe FERRANDINO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,192634,Partito Democratico,https://www.europarl.europa.eu/mepphoto/192634.jpg,https://www.europarl.europa.eu/mepaudio/192634.mp3,MALE,,MALE,,21-03-1963,21-03-1963,Ischia (NA),Croatia,https://www.europarl.europa.eu/meps/en/192634/GIUSEPPE_FERRANDINO/home
Laura FERRARA,Non-attached Members,124833,Movimento 5 Stelle,https://www.europarl.europa.eu/mepphoto/124833.jpg,https://www.europarl.europa.eu/mepaudio/124833.mp3,,FEMALE,FEMALE,"September 11, 1983",11-09-1983,09-11-1983,Napoli,Poland,https://www.europarl.europa.eu/meps/en/124833/LAURA_FERRARA/home
Nicolaus FEST,Identity and Democracy Group,197480,Alternative für Deutschland,https://www.europarl.europa.eu/mepphoto/197480.jpg,https://www.europarl.europa.eu/mepaudio/197480.mp3,MALE,,MALE,"July 1, 1962",01-07-1962,07-01-1962,Berlin,Cyprus,https://www.europarl.europa.eu/meps/en/197480/NICOLAUS_FEST/home
Carlo FIDANZA,European Conservatives and Reformists Group,96810,Fratelli d'Italia,https://www.europarl.europa.eu/mepphoto/96810.jpg,https://www.europarl.europa.eu/mepaudio/96810.mp3,MALE,MALE,MALE,"September 21, 1976",21-09-1976,21-09-1976,San Benedetto del Tronto,Greece,https://www.europarl.europa.eu/meps/en/96810/CARLO_FIDANZA/home
Pietro FIOCCHI,European Conservatives and Reformists Group,197607,Fratelli d'Italia,https://www.europarl.europa.eu/mepphoto/197607.jpg,https://www.europarl.europa.eu/mepaudio/197607.mp3,MALE,,MALE,"May 22, 1964",22-05-1964,22-05-1964,Milano,Poland,https://www.europarl.europa.eu/meps/en/197607/PIETRO_FIOCCHI/home
Raffaele FITTO,European Conservatives and Reformists Group,4465,Fratelli d'Italia,https://www.europarl.europa.eu/mepphoto/4465.jpg,https://www.europarl.europa.eu/mepaudio/4465.mp3,MALE,MALE,MALE,"August 28, 1969",28-08-1969,28-08-1969,Maglie,Belgium,https://www.europarl.europa.eu/meps/en/4465/RAFFAELE_FITTO/home
Frances FITZGERALD,Group of the European People's Party (Christian Democrats),197720,Fine Gael Party,https://www.europarl.europa.eu/mepphoto/197720.jpg,https://www.europarl.europa.eu/mepaudio/197720.mp3,FEMALE,,FEMALE,"August 1, 1950",,01-08-1950,,Germany,https://www.europarl.europa.eu/meps/en/197720/FRANCES_FITZGERALD/home
Luke Ming FLANAGAN,The Left group in the European Parliament - GUE/NGL,124985,Independent,https://www.europarl.europa.eu/mepphoto/124985.jpg,https://www.europarl.europa.eu/mepaudio/124985.mp3,MALE,MALE,MALE,"January 22, 1972",22-01-1972,22-01-1972,Roscommon,Germany,https://www.europarl.europa.eu/meps/en/124985/LUKE_MING_FLANAGAN/home
Valter FLEGO,Renew Europe Group,197419,Istarski demokratski sabor - Dieta democratica istriana,https://www.europarl.europa.eu/mepphoto/197419.jpg,https://www.europarl.europa.eu/mepaudio/197419.mp3,MALE,,MALE,"August 15, 1972",15-08-1972,15-08-1972,Koper,Sweden,https://www.europarl.europa.eu/meps/en/197419/VALTER_FLEGO/home
Anna FOTYGA,European Conservatives and Reformists Group,28353,Prawo i Sprawiedliwość,https://www.europarl.europa.eu/mepphoto/28353.jpg,https://www.europarl.europa.eu/mepaudio/28353.mp3,FEMALE,FEMALE,FEMALE,"January 12, 1957",12-01-1957,01-12-1957,Lębork,Denmark,https://www.europarl.europa.eu/meps/en/28353/ANNA_FOTYGA/home
Loucas FOURLAS,Group of the European People's Party (Christian Democrats),197414,Democratic Rally,https://www.europarl.europa.eu/mepphoto/197414.jpg,https://www.europarl.europa.eu/mepaudio/197414.mp3,,,MALE,,21-08-1969,21-08-1969,Lemesos,Italy,https://www.europarl.europa.eu/meps/en/197414/LOUCAS_FOURLAS/home
Emmanouil FRAGKOS,European Conservatives and Reformists Group,198490,Elliniki Lusi-Greek Solution,https://www.europarl.europa.eu/mepphoto/198490.jpg,https://www.europarl.europa.eu/mepaudio/198490.mp3,,,MALE,"June 27, 1993",27-06-1993,27-06-1993,Chios,Denmark,https://www.europarl.europa.eu/meps/en/198490/EMMANOUIL_FRAGKOS/home
Tomasz FRANKOWSKI,Group of the European People's Party (Christian Democrats),197513,Platforma Obywatelska,https://www.europarl.europa.eu/mepphoto/197513.jpg,https://www.europarl.europa.eu/mepaudio/197513.mp3,MALE,,MALE,"August 16, 1974",16-08-1974,16-08-1974,Białystok,Germany,https://www.europarl.europa.eu/meps/en/197513/TOMASZ_FRANKOWSKI/home
Cindy FRANSSEN,Group of the European People's Party (Christian Democrats),197455,Christen-Democratisch & Vlaams,https://www.europarl.europa.eu/mepphoto/197455.jpg,https://www.europarl.europa.eu/mepaudio/197455.mp3,FEMALE,,FEMALE,"January 30, 1976",30-01-1976,30-01-1976,Oudenaarde,Hungary,https://www.europarl.europa.eu/meps/en/197455/CINDY_FRANSSEN/home
Romeo FRANZ,Group of the Greens/European Free Alliance,193273,Bündnis 90/Die Grünen,https://www.europarl.europa.eu/mepphoto/193273.jpg,https://www.europarl.europa.eu/mepaudio/193273.mp3,MALE,,MALE,"October 28, 1966",28-10-1966,28-10-1966,Kaiserslautern,Germany,https://www.europarl.europa.eu/meps/en/193273/ROMEO_FRANZ/home
Daniel FREUND,Group of the Greens/European Free Alliance,106936,Bündnis 90/Die Grünen,https://www.europarl.europa.eu/mepphoto/106936.jpg,https://www.europarl.europa.eu/mepaudio/106936.mp3,MALE,,MALE,"October 14, 1984",14-10-1984,14-10-1984,Aachen,Spain,https://www.europarl.europa.eu/meps/en/106936/DANIEL_FREUND/home
Heléne FRITZON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197391,Arbetarepartiet- Socialdemokraterna,https://www.europarl.europa.eu/mepphoto/197391.jpg,https://www.europarl.europa.eu/mepaudio/197391.mp3,FEMALE,,FEMALE,"September 29, 1960",29-09-1960,29-09-1960,Kristianstad,Austria,https://www.europarl.europa.eu/meps/en/197391/HELÉNE_FRITZON/home
Niels FUGLSANG,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,101585,Socialdemokratiet,https://www.europarl.europa.eu/mepphoto/101585.jpg,https://www.europarl.europa.eu/mepaudio/101585.mp3,MALE,,MALE,"June 29, 1985",29-06-1985,29-06-1985,Kobenhavn,Italy,https://www.europarl.europa.eu/meps/en/101585/NIELS_FUGLSANG/home
Mario FURORE,Non-attached Members,197795,Movimento 5 Stelle,https://www.europarl.europa.eu/mepphoto/197795.jpg,https://www.europarl.europa.eu/mepaudio/197795.mp3,,,MALE,"December 25, 1988",25-12-1988,25-12-1988,FOGGIA,Spain,https://www.europarl.europa.eu/meps/en/197795/MARIO_FURORE/home
Søren GADE,Renew Europe Group,197555,"Venstre, Danmarks Liberale Parti",https://www.europarl.europa.eu/mepphoto/197555.jpg,https://www.europarl.europa.eu/mepaudio/197555.mp3,MALE,,MALE,"January 27, 1963",27-01-1963,27-01-1963,Holstebro,Spain,https://www.europarl.europa.eu/meps/en/197555/SØREN_GADE/home
Michael GAHLER,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands,https://www.europarl.europa.eu/mepphoto/2341.jpg,https://www.europarl.europa.eu/mepaudio/2341.mp3,MALE,MALE,MALE,"April 22, 1960",22-04-1960,22-04-1960,Frankfurt/Main,Spain,https://www.europarl.europa.eu/meps/en/2341/MICHAEL_GAHLER/home
Kinga GÁL,Non-attached Members,28150,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,https://www.europarl.europa.eu/mepphoto/28150.jpg,https://www.europarl.europa.eu/mepaudio/28150.mp3,FEMALE,FEMALE,FEMALE,"September 6, 1970",,06-09-1970,,Spain,https://www.europarl.europa.eu/meps/en/28150/KINGA_GÁL/home
Malte GALLÉE,Group of the Greens/European Free Alliance,229352,Bündnis 90/Die Grünen,https://www.europarl.europa.eu/mepphoto/229352.jpg,https://www.europarl.europa.eu/mepaudio/229352.mp3,MALE,,MALE,"September 5, 1993",05-09-1993,09-05-1993,Schwäbisch Gmünd,Spain,https://www.europarl.europa.eu/meps/en/229352/MALTE_GALLÉE/home
Lina GÁLVEZ MUÑOZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197702,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/197702.jpg,https://www.europarl.europa.eu/mepaudio/197702.mp3,FEMALE,,FEMALE,,13-09-1969,13-09-1969,Sevilla,France,https://www.europarl.europa.eu/meps/en/197702/LINA_GÁLVEZ_MUÑOZ/home
Claudia GAMON,Renew Europe Group,197632,NEOS – Das Neue Österreich,https://www.europarl.europa.eu/mepphoto/197632.jpg,https://www.europarl.europa.eu/mepaudio/197632.mp3,FEMALE,,FEMALE,"December 23, 1988",23-12-1988,23-12-1988,Feldkirch,Germany,https://www.europarl.europa.eu/meps/en/197632/CLAUDIA_GAMON/home
Gianna GANCIA,Identity and Democracy Group,197582,Lega,https://www.europarl.europa.eu/mepphoto/197582.jpg,https://www.europarl.europa.eu/mepaudio/197582.mp3,FEMALE,,FEMALE,"December 31, 1972",31-12-1972,31-12-1972,Bra,Germany,https://www.europarl.europa.eu/meps/en/197582/GIANNA_GANCIA/home
Ibán GARCÍA DEL BLANCO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197717,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/197717.jpg,https://www.europarl.europa.eu/mepaudio/197717.mp3,MALE,,MALE,,08-02-1977,02-08-1977,Leon,Italy,https://www.europarl.europa.eu/meps/en/197717/IBÁN_GARCÍA_DEL_BLANCO/home
José Manuel GARCÍA-MARGALLO Y MARFIL,Group of the European People's Party (Christian Democrats),1992,Partido Popular,https://www.europarl.europa.eu/mepphoto/1992.jpg,https://www.europarl.europa.eu/mepaudio/1992.mp3,MALE,MALE,MALE,"August 13, 1944",13-08-1944,13-08-1944,Madrid,Cyprus,https://www.europarl.europa.eu/meps/en/1992/JOSÉ_MANUEL_GARCÍA-MARGALLO_Y_MARFIL/home
Isabel GARCÍA MUÑOZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197742,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/197742.jpg,https://www.europarl.europa.eu/mepaudio/197742.mp3,FEMALE,,FEMALE,"March 3, 1977",03-03-1977,03-03-1977,Zaragoza,Greece,https://www.europarl.europa.eu/meps/en/197742/ISABEL_GARCÍA_MUÑOZ/home
Iratxe GARCÍA PÉREZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/28298.jpg,https://www.europarl.europa.eu/mepaudio/28298.mp3,FEMALE,FEMALE,FEMALE,"October 7, 1974",07-10-1974,10-07-1974,Baracaldo,Germany,https://www.europarl.europa.eu/meps/en/28298/IRATXE_GARCÍA_PÉREZ/home
